facility_code,facility_name,lga,report_month,report_quarter,indicator_code,indicator_name,domain,numerator,denominator,indicator_value,unit,target_value,direction,met_target,gap_vs_target
CH-007,Kuje Cottage Hospital,Kuje,2024-07,2024-Q3,ANC4,ANC4 coverage,Antenatal care,18.0,45.0,40.0,percent,70,higher_is_better,False,-30.0
CH-007,Kuje Cottage Hospital,Kuje,2024-08,2024-Q3,ANC4,ANC4 coverage,Antenatal care,21.0,45.0,46.7,percent,70,higher_is_better,False,-23.3
CH-007,Kuje Cottage Hospital,Kuje,2024-09,2024-Q3,ANC4,ANC4 coverage,Antenatal care,30.0,45.0,66.7,percent,70,higher_is_better,False,-3.3
CH-007,Kuje Cottage Hospital,Kuje,2024-10,2024-Q4,ANC4,ANC4 coverage,Antenatal care,32.0,45.0,71.1,percent,70,higher_is_better,True,1.1
CH-007,Kuje Cottage Hospital,Kuje,2024-11,2024-Q4,ANC4,ANC4 coverage,Antenatal care,28.0,45.0,62.2,percent,70,higher_is_better,False,-7.8
CH-007,Kuje Cottage Hospital,Kuje,2024-12,2024-Q4,ANC4,ANC4 coverage,Antenatal care,29.0,45.0,64.4,percent,70,higher_is_better,False,-5.6
CH-007,Kuje Cottage Hospital,Kuje,2025-01,2025-Q1,ANC4,ANC4 coverage,Antenatal care,30.0,45.0,66.7,percent,70,higher_is_better,False,-3.3
CH-007,Kuje Cottage Hospital,Kuje,2025-02,2025-Q1,ANC4,ANC4 coverage,Antenatal care,34.0,45.0,75.6,percent,70,higher_is_better,True,5.6
CH-007,Kuje Cottage Hospital,Kuje,2025-03,2025-Q1,ANC4,ANC4 coverage,Antenatal care,30.0,45.0,66.7,percent,70,higher_is_better,False,-3.3
CH-007,Kuje Cottage Hospital,Kuje,2025-04,2025-Q2,ANC4,ANC4 coverage,Antenatal care,28.0,45.0,62.2,percent,70,higher_is_better,False,-7.8
CH-007,Kuje Cottage Hospital,Kuje,2025-05,2025-Q2,ANC4,ANC4 coverage,Antenatal care,33.0,45.0,73.3,percent,70,higher_is_better,True,3.3
CH-007,Kuje Cottage Hospital,Kuje,2025-06,2025-Q2,ANC4,ANC4 coverage,Antenatal care,21.0,45.0,46.7,percent,70,higher_is_better,False,-23.3
CH-007,Kuje Cottage Hospital,Kuje,2025-07,2025-Q3,ANC4,ANC4 coverage,Antenatal care,32.0,45.0,71.1,percent,70,higher_is_better,True,1.1
CH-007,Kuje Cottage Hospital,Kuje,2025-08,2025-Q3,ANC4,ANC4 coverage,Antenatal care,32.0,45.0,71.1,percent,70,higher_is_better,True,1.1
CH-007,Kuje Cottage Hospital,Kuje,2025-09,2025-Q3,ANC4,ANC4 coverage,Antenatal care,27.0,45.0,60.0,percent,70,higher_is_better,False,-10.0
