facility_code,report_month,anc1_visits,anc4_visits,deliveries_total,deliveries_skilled,deliveries_facility,immunisation_started,immunisation_completed,report_submitted_day
CH-007,2024-07,24,18,34,31,24,40,34,5
CH-007,2024-08,29,21,30,26,28,35,27,1
CH-007,2024-09,36,30,30,25,29,33,30,6
CH-007,2024-10,44,32,36,30,25,36,33,1
CH-007,2024-11,40,28,31,28,31,40,38,1
CH-007,2024-12,42,29,36,29,34,43,39,8
CH-007,2025-01,42,30,41,39,29,38,36,1
CH-007,2025-02,39,34,46,38,35,38,34,7
CH-007,2025-03,41,30,38,33,33,39,33,5
CH-007,2025-04,43,28,42,35,32,39,36,4
CH-007,2025-05,44,33,35,30,28,33,29,3
CH-007,2025-06,31,21,34,28,34,33,30,6
CH-007,2025-07,38,32,40,34,23,30,29,5
CH-007,2025-08,40,32,29,25,25,32,30,7
CH-007,2025-09,34,27,33,27,30,35,34,5
CH-007,2025-10,40,31,39,32,36,43,41,2
CH-007,2025-11,41,32,47,41,32,40,34,2
CH-007,2025-12,43,36,43,37,26,34,31,6
CH-007,2026-01,44,36,38,33,30,42,36,2
CH-007,2026-02,42,34,41,36,37,43,43,5
CH-007,2026-03,43,31,42,38,32,44,38,1
CH-007,2026-04,41,33,35,32,32,35,34,6
CH-007,2026-05,40,34,42,38,33,39,38,7
CH-007,2026-06,37,30,46,39,22,34,32,4
CH-011,2024-07,48,38,49,41,42,51,44,6
CH-011,2024-08,49,37,37,31,37,47,37,7
CH-011,2024-09,53,44,57,53,34,57,49,12
CH-011,2024-10,54,39,58,46,45,52,49,2
CH-011,2024-11,58,43,59,50,40,47,45,5
CH-011,2024-12,54,40,60,50,50,47,47,3
CH-011,2025-01,54,38,59,48,44,58,57,6
CH-011,2025-02,56,46,54,46,38,56,49,1
CH-011,2025-03,53,42,54,40,46,54,48,3
CH-011,2025-04,57,40,48,37,43,48,48,7
CH-011,2025-05,53,38,53,43,37,45,40,8
CH-011,2025-06,49,33,43,40,36,41,34,6
CH-011,2025-07,56,43,39,33,31,42,40,1
CH-011,2025-08,50,37,44,36,42,37,36,1
CH-011,2025-09,51,37,52,41,43,38,37,7
CH-011,2025-10,52,41,53,48,49,47,45,2
CH-011,2025-11,56,43,62,50,48,53,47,2
CH-011,2025-12,57,44,56,49,38,51,45,6
